X,Y,Z,fid,AREA,PERIMETRO,DEPTO,SECC,SEG,CODSECC,CODSEG,CODLOC,CDEPTO_ISO,CLOC_ISO,NOMDEPTO,NOMLOC,VIV_TOT_23,POB_TOT_23,POB_TOT_HOM_23,POB_TOT_MUJ_23,AREA_KM2,AREA_HA
-56.2090449540436,-34.1017721405341,0,1,113000.190476375,288.798285014517,"08","01","014","0801","0801014","08220",UYFD,UYFDFDA,FLORIDA,FLORIDA,404,875,414,461,0.11300019,11.300019
-55.6487748978584,-34.5475883541577,0,2,59670274.071333,18341.9598716541,"03","09","011","0309","0309011","03900",UYCA,UYCARUR,CANELONES,RURAL,139,190,92,98,59.670273,5967.0273
-54.6732531690933,-34.1148424687196,0,3,162876646.515275,30668.9898951733,"10","08","014","1008","1008014","10900",UYMA,UYMARUR,MALDONADO,RURAL,125,89,48,41,162.87665,16287.665
-56.0858006590873,-34.8650201440915,0,4,2182669.37168118,567.450571402776,"01","99","007","0199","0199007","01020",UYMO,UYMOMVD,MONTEVIDEO,MONTEVIDEO,393,1278,617,661,2.1826694,218.26694
-57.3544371683709,-34.3126237116843,0,5,226338.216143386,457.011243352542,"05","03","003","0503","0503003","05422",UYCO,UYCOROS,COLONIA,ROSARIO,475,848,390,458,0.22633822,22.633821
-57.7772175927507,-30.7810170126414,0,6,582014.37291428,455.800655739167,"15","08","101","1508","1508101","15522",UYSA,UYSABEL,SALTO,BELEN,82,115,66,49,0.5820144,58.20144
-58.1846618927082,-33.5337154136238,0,7,7311651.6881123,2969.47997459651,"17","03","112","1703","1703112","17950",UYSO,UYSOCDD,SORIANO,CHACRAS DE DOLORES,140,279,141,138,7.3116517,731.16516
-55.8870879727674,-34.1138670712629,0,8,149124760.998625,30009.6086894929,"08","02","316","0802","0802316","08900",UYFD,UYFDRUR,FLORIDA,RURAL,92,146,78,68,149.12476,14912.477
-58.12649138913,-33.9694774748206,0,9,166349003.481727,28442.2389205614,"05","06","117","0506","0506117","05900",UYCO,UYCORUR,COLONIA,RURAL,158,244,130,114,166.349,16634.9
-56.5095548929636,-32.7999693314657,0,10,1855942.23943297,132.395828780933,"18","10","214","1810","1810214","18321",UYTA,UYTAPTS,TACUAREMBO,PASO DE LOS TOROS,116,222,115,107,1.8559422,185.59422
-56.7494508920379,-30.6117385820066,0,11,580913405.212322,48450.0690500692,"02","02","102","0202","0202102","02900",UYAR,UYARRUR,ARTIGAS,RURAL,98,41,18,23,580.9134,58091.34
-56.250349697943,-34.7993374991724,0,12,215879.745180041,518.145016044646,"01","09","009","0109","0109009","01020",UYMO,UYMOMVD,MONTEVIDEO,MONTEVIDEO,328,824,359,465,0.21587974,21.587975
-56.2407763380923,-34.4749519168226,0,13,54090766.0068279,26816.1048356479,"03","01","020","0301","0301020","03900",UYCA,UYCARUR,CANELONES,RURAL,424,778,411,367,54.090767,5409.0767
-56.7417339100376,-34.3343189828149,0,14,1804348.91158699,5912.501416119,"16","07","404","1607","1607404","16220",UYSJ,UYSJSJM,SAN JOSE,SAN JOSE DE MAYO,46,121,61,60,1.804349,180.43489
-54.7248305509557,-32.3077028041076,0,15,239042953.884686,63713.9596129649,"04","06","406","0406","0406406","04900",UYCL,UYCLRUR,CERRO LARGO,RURAL,24,36,19,17,239.04295,23904.295
-55.4589411711205,-33.9726813079596,0,16,129029931.723703,47418.5103030809,"08","09","005","0809","0809005","08900",UYFD,UYFDRUR,FLORIDA,RURAL,36,14,8,6,129.02994,12902.993
-56.2482607273539,-34.820997084221,0,17,1927674.49345898,995.887942647407,"01","21","047","0121","0121047","01020",UYMO,UYMOMVD,MONTEVIDEO,MONTEVIDEO,1017,2396,1186,1210,1.9276745,192.76746
-54.6831338910707,-33.4835577913083,0,18,238009799.773843,26939.6516651123,"09","10","205","0910","0910205","09900",UYLA,UYLARUR,LAVALLEJA,RURAL,108,38,23,15,238.0098,23800.98
